"","model","split","auc_train","auc_test"
"1","gbm300",1,0.94048645320197,0.734203296703297
"2","gbm300",2,0.931003694581281,0.877747252747253
"3","gbm300",3,0.936927661034929,0.895631067961165
"4","gbm300",4,0.941459571613547,0.77245145631068
"5","gbm300",5,0.939876132977645,0.835558252427185
"6","gbm300",6,0.929213272803856,0.911407766990291
"7","gbm300",7,0.933113367966178,0.885922330097087
"8","gbm300",8,0.933292772343645,0.866504854368932
"9","gbm300",9,0.934376998798771,0.793689320388349
"10","gbm300",10,0.936867599569429,0.858529819694868
