"","model","split","auc_train","auc_test"
"1","gbm",1,0.982953440578713,0.982355322182942
"2","gbm",2,0.982658818758603,0.983618617194555
"3","gbm",3,0.983131584365987,0.980890036163905
"4","gbm",4,0.982881493412592,0.983170588890218
"5","gbm",5,0.98289780972753,0.981704858004099
"6","gbm",6,0.982865262110886,0.983295275174523
"7","gbm",7,0.982949139285466,0.982623684888352
"8","gbm",8,0.9824290345876,0.985465250672003
"9","gbm",9,0.982933705987213,0.981500102369017
"10","gbm",10,0.982881095248714,0.981431168393731
