"","model","split","auc_train","auc_test"
"1","gbmtuned",1,0.963755382101478,0.963849016480595
"2","gbmtuned",2,0.968210172449063,0.922115895800106
"3","gbmtuned",3,0.986722711995853,0.932515948963317
"4","gbmtuned",4,0.986470499799134,0.930721690590112
"5","gbmtuned",5,0.958775628907954,0.944743487506645
"6","gbmtuned",6,0.968223174273262,0.913060817547358
"7","gbmtuned",7,0.965826388061663,0.936224659355268
"8","gbmtuned",8,0.95751711843451,0.964572947823197
"9","gbmtuned",9,0.986684154028353,0.939939839572193
"10","gbmtuned",10,0.958036489473717,0.944786096256685
