"","model","split","auc_train","auc_test"
"1","h2o",1,0.102402028584601,0.0985185185185185
"2","h2o",2,0.095103734439834,0.232592592592593
"3","h2o",3,0.0872660212079299,0.121481481481481
"4","h2o",4,0.112710926694329,0.20962962962963
"5","h2o",5,0.103928077455048,0.18
"6","h2o",6,0.081751959428308,0.145925925925926
"7","h2o",7,0.124232365145228,0.191111111111111
"8","h2o",8,0.0838358690640848,0.120740740740741
"9","h2o",9,0.077979797979798,0.176923076923077
"10","h2o",10,0.0684022038567493,0.216153846153846
