"","model","split","auc_train","auc_test"
"1","gbm",1,0.977128566467889,0.975225491354524
"2","gbm",2,0.977049863085976,0.97377263024745
"3","gbm",3,0.976742814151121,0.979267135741956
"4","gbm",4,0.976212595440727,0.986237351234678
"5","gbm",5,0.978344748122445,0.964811184379889
"6","gbm",6,0.977285326745286,0.973207390245351
"7","gbm",7,0.979789546847037,0.9558209073447
"8","gbm",8,0.977153692784407,0.975623279668904
"9","gbm",9,0.977381915300995,0.974217311233886
"10","gbm",10,0.979005970662478,0.961405176340126
