"","model","split","auc_train","auc_test"
"1","safe_logreg_gbm",1,0.8999804512958,0.903679653679654
"2","safe_logreg_gbm",2,0.895484249329759,0.865800865800866
"3","safe_logreg_gbm",3,0.880641773306432,0.884523809523809
"4","safe_logreg_gbm",4,0.901315607639369,0.816666666666667
"5","safe_logreg_gbm",5,0.895276526353611,0.948809523809524
"6","safe_logreg_gbm",6,0.890374331550802,0.827050997782705
"7","safe_logreg_gbm",7,0.903617981283422,0.65410199556541
"8","safe_logreg_gbm",8,0.913881461675579,0.621951219512195
"9","safe_logreg_gbm",9,0.906082887700535,0.759423503325942
"10","safe_logreg_gbm",10,0.908993426916221,0.798226164079823
