model,task,split,n_params,auc_test
gbm,10093,1,400,0.997232275920801
gbm,10093,10,400,0.994823123382226
gbm,10093,2,400,0.98573557589951
gbm,10093,3,400,0.993205349439172
gbm,10093,4,400,0.997842968075928
gbm,10093,5,400,0.999568593615185
gbm,10093,6,400,0.98899913718723
gbm,10093,7,400,0.999568593615185
gbm,10093,8,400,0.998921484037964
gbm,10093,9,400,0.988028472821398
gbm,10101,1,400,0.761208576998051
gbm,10101,10,400,0.746646026831785
gbm,10101,2,400,0.863060428849903
gbm,10101,3,400,0.676900584795322
gbm,10101,4,400,0.696393762183236
gbm,10101,5,400,0.801656920077973
gbm,10101,6,400,0.719298245614035
gbm,10101,7,400,0.735867446393762
gbm,10101,8,400,0.747563352826511
gbm,10101,9,400,0.768317853457172
gbm,14965,1,400,0.901455855876328
gbm,14965,10,400,0.91090474900652
gbm,14965,2,400,0.903158889799573
gbm,14965,3,400,0.914439464941225
gbm,14965,4,400,0.911555625428551
gbm,14965,5,400,0.910637910982646
gbm,14965,6,400,0.885775568149532
gbm,14965,7,400,0.894811835391009
gbm,14965,8,400,0.913597516393846
gbm,14965,9,400,0.903195805599858
gbm,219,1,400,0.862350810874584
gbm,219,10,400,0.868114410159228
gbm,219,2,400,0.862314838877339
gbm,219,3,400,0.850279453127554
gbm,219,4,400,0.865512808550783
gbm,219,5,400,0.864916201941518
gbm,219,6,400,0.86405902228687
gbm,219,7,400,0.879037486632423
gbm,219,8,400,0.873660268496629
gbm,219,9,400,0.859053227159761
gbm,31,1,400,0.836190476190476
gbm,31,10,400,0.74952380952381
gbm,31,2,400,0.750476190476191
gbm,31,3,400,0.712857142857143
gbm,31,4,400,0.777142857142857
gbm,31,5,400,0.75047619047619
gbm,31,6,400,0.809047619047619
gbm,31,7,400,0.808095238095238
gbm,31,8,400,0.858571428571429
gbm,31,9,400,0.784761904761905
gbm,34537,1,400,0.981168831168831
gbm,34537,10,400,0.982362701178032
gbm,34537,2,400,0.985285250463822
gbm,34537,3,400,0.982194208852372
gbm,34537,4,400,0.983540948847071
gbm,34537,5,400,0.97924231380864
gbm,34537,6,400,0.983085677104082
gbm,34537,7,400,0.982660744163812
gbm,34537,8,400,0.982394225983076
gbm,34537,9,400,0.981081798573088
gbm,3485,1,400,0.985200845665962
gbm,3485,10,400,0.992090662259474
gbm,3485,2,400,0.935635424007517
gbm,3485,3,400,0.944326990838619
gbm,3485,4,400,0.97509983556495206
gbm,3485,5,400,0.988607000234907
gbm,3485,6,400,0.982969227155274
gbm,3485,7,400,0.998384863867097
gbm,3485,8,400,0.976153936961398
gbm,3485,9,400,0.976626136229489
gbm,3492,1,400,0.705357142857143
gbm,3492,10,400,0.605820105820106
gbm,3492,2,400,0.723214285714286
gbm,3492,3,400,0.633928571428571
gbm,3492,4,400,0.627551020408163
gbm,3492,5,400,0.725765306122449
gbm,3492,6,400,0.691326530612245
gbm,3492,7,400,0.685185185185185
gbm,3492,8,400,0.69047619047619
gbm,3492,9,400,0.794973544973545
gbm,3493,1,400,0.558333333333333
gbm,3493,10,400,0.444444444444444
gbm,3493,2,400,0.4525
gbm,3493,3,400,0.71
gbm,3493,4,400,0.5275
gbm,3493,5,400,0.6025
gbm,3493,6,400,0.394383394383394
gbm,3493,7,400,0.528693528693529
gbm,3493,8,400,0.682539682539683
gbm,3493,9,400,0.492063492063492
gbm,3494,1,400,0.960408684546616
gbm,3494,10,400,1
gbm,3494,2,400,1
gbm,3494,3,400,1
gbm,3494,4,400,1
gbm,3494,5,400,1
gbm,3494,6,400,1
gbm,3494,7,400,1
gbm,3494,8,400,0.941644562334218
gbm,3494,9,400,0.939655172413793
gbm,37,1,400,0.902222222222222
gbm,37,10,400,0.786923076923077
gbm,37,2,400,0.772592592592593
