model,task,split,n_params,auc_test
safe_logreg_gbm,10093,1,11,0.987651692569725
safe_logreg_gbm,10093,10,10,0.981233822260569
safe_logreg_gbm,10093,2,10,0.98083883329785
safe_logreg_gbm,10093,3,10,0.979831751509922
safe_logreg_gbm,10093,4,9,0.990509059534081
safe_logreg_gbm,10093,5,10,0.991803278688525
safe_logreg_gbm,10093,6,11,0.981233822260569
safe_logreg_gbm,10093,7,10,0.982851596203624
safe_logreg_gbm,10093,8,11,0.994499568593615
safe_logreg_gbm,10093,9,10,0.991695427092321
safe_logreg_gbm,10101,1,8,0.782163742690059
safe_logreg_gbm,10101,10,8,0.767285861713106
safe_logreg_gbm,10101,2,9,0.789961013645224
safe_logreg_gbm,10101,3,7,0.685672514619883
safe_logreg_gbm,10101,4,7,0.630604288499025
safe_logreg_gbm,10101,5,8,0.790448343079922
safe_logreg_gbm,10101,6,7,0.730019493177388
safe_logreg_gbm,10101,7,8,0.752923976608187
safe_logreg_gbm,10101,8,8,0.727582846003899
safe_logreg_gbm,10101,9,9,0.768833849329205
safe_logreg_gbm,14965,1,18,0.875868071582737
safe_logreg_gbm,14965,10,20,0.899643332032685
safe_logreg_gbm,14965,2,21,0.892595185514043
safe_logreg_gbm,14965,3,20,0.899757927954207
safe_logreg_gbm,14965,4,20,0.896005858598104
safe_logreg_gbm,14965,5,19,0.899770476681151
safe_logreg_gbm,14965,6,21,0.872758986782639
safe_logreg_gbm,14965,7,18,0.867577309628709
safe_logreg_gbm,14965,8,19,0.89287838436798
safe_logreg_gbm,14965,9,20,0.876182658322316
safe_logreg_gbm,219,1,18,0.854657387153553
safe_logreg_gbm,219,10,18,0.861293125037885
safe_logreg_gbm,219,2,17,0.854898230137877
safe_logreg_gbm,219,3,19,0.848877003940295
safe_logreg_gbm,219,4,17,0.862387526944489
safe_logreg_gbm,219,5,18,0.860880808665619
safe_logreg_gbm,219,6,17,0.855880776766853
safe_logreg_gbm,219,7,17,0.872098209123526
safe_logreg_gbm,219,8,17,0.864971055897451
safe_logreg_gbm,219,9,18,0.850876059582261
safe_logreg_gbm,31,1,24,0.804285714285714
safe_logreg_gbm,31,10,20,0.763333333333333
safe_logreg_gbm,31,2,29,0.734285714285714
